,Call/Put,Strike,TimetoMaturity,Marketprice,UnderlyingPrice,InterestRate
0,p,4450,0.7643835616438356,447.0,4204.31,0.375
1,p,4400,0.7643835616438356,425.0,4204.31,0.375
2,p,4300,0.7643835616438356,385.0,4204.31,0.375
3,p,4600,0.7643835616438356,522.0,4204.31,0.375
4,p,4500,0.7643835616438356,471.0,4204.31,0.375
5,p,4150,0.7643835616438356,331.0,4204.31,0.375
6,p,4650,0.7643835616438356,549.0,4204.31,0.375
7,p,4200,0.7643835616438356,348.0,4204.31,0.375
8,p,4550,0.7643835616438356,496.0,4204.31,0.375
9,p,4350,0.7643835616438356,404.0,4204.31,0.375
10,p,4250,0.7643835616438356,366.0,4204.31,0.375
11,p,4100,0.7643835616438356,314.0,4204.31,0.375
12,p,4700,0.7643835616438356,578.0,4204.31,0.375
13,c,4550,0.7643835616438356,174.0,4204.31,0.375
14,c,4850,0.7643835616438356,78.0,4204.31,0.375
15,c,4500,0.7643835616438356,195.0,4204.31,0.375
16,c,4350,0.7643835616438356,266.0,4204.31,0.375
17,c,4750,0.7643835616438356,105.0,4204.31,0.375
18,c,4300,0.7643835616438356,291.0,4204.31,0.375
19,c,4400,0.7643835616438356,241.0,4204.31,0.375
20,c,4900,0.7643835616438356,67.0,4204.31,0.375
21,c,4250,0.7643835616438356,318.0,4204.31,0.375
22,c,4600,0.7643835616438356,155.0,4204.31,0.375
23,c,4450,0.7643835616438356,217.0,4204.31,0.375
24,c,4650,0.7643835616438356,137.0,4204.31,0.375
25,c,4700,0.7643835616438356,120.0,4204.31,0.375
26,c,4800,0.7643835616438356,91.0,4204.31,0.375
27,c,4150,0.7643835616438356,374.0,4204.31,0.375
28,p,3900,0.7643835616438356,252.99999999999997,4204.31,0.375
29,p,3950,0.7643835616438356,268.0,4204.31,0.375
30,p,4000,0.7643835616438356,283.0,4204.31,0.375
31,p,4050,0.7643835616438356,298.0,4204.31,0.375
32,c,4200,0.7643835616438356,346.0,4204.31,0.375
33,c,4100,0.7643835616438356,403.0,4204.31,0.375
34,c,4050,0.7643835616438356,433.0,4204.31,0.375
35,p,4400,0.5150684931506849,371.0,4204.31,0.375
36,p,4350,0.5150684931506849,349.0,4204.31,0.375
37,p,4500,0.5150684931506849,419.00000000000006,4204.31,0.375
38,p,4200,0.5150684931506849,292.0,4204.31,0.375
39,p,4300,0.5150684931506849,329.0,4204.31,0.375
40,p,4150,0.5150684931506849,275.0,4204.31,0.375
41,p,4550,0.5150684931506849,445.0,4204.31,0.375
42,p,4100,0.5150684931506849,259.0,4204.31,0.375
43,p,4650,0.5150684931506849,503.0,4204.31,0.375
44,p,4450,0.5150684931506849,394.0,4204.31,0.375
45,p,4600,0.5150684931506849,473.00000000000006,4204.31,0.375
46,p,4250,0.5150684931506849,310.0,4204.31,0.375
47,c,4400,0.5150684931506849,183.0,4204.31,0.375
48,c,4500,0.5150684931506849,139.0,4204.31,0.375
49,c,4800,0.5150684931506849,50.0,4204.31,0.375
50,c,4750,0.5150684931506849,61.0,4204.31,0.375
51,c,4700,0.5150684931506849,73.0,4204.31,0.375
52,c,4300,0.5150684931506849,233.0,4204.31,0.375
53,c,4650,0.5150684931506849,87.0,4204.31,0.375
54,c,4350,0.5150684931506849,206.99999999999997,4204.31,0.375
55,c,4550,0.5150684931506849,120.0,4204.31,0.375
56,c,4250,0.5150684931506849,259.0,4204.31,0.375
57,c,4450,0.5150684931506849,160.0,4204.31,0.375
58,c,4600,0.5150684931506849,103.0,4204.31,0.375
59,p,4050,0.5150684931506849,244.0,4204.31,0.375
60,p,4000,0.5150684931506849,229.99999999999997,4204.31,0.375
61,p,3950,0.5150684931506849,216.0,4204.31,0.375
62,c,4150,0.5150684931506849,316.0,4204.31,0.375
63,c,4100,0.5150684931506849,346.0,4204.31,0.375
64,c,4200,0.5150684931506849,287.0,4204.31,0.375
65,p,4650,0.26575342465753427,451.99999999999994,4204.31,0.375
66,p,4400,0.26575342465753427,297.0,4204.31,0.375
67,p,4050,0.26575342465753427,165.0,4204.31,0.375
68,p,4600,0.26575342465753427,417.0,4204.31,0.375
69,p,3900,0.26575342465753427,127.0,4204.31,0.375
70,p,3950,0.26575342465753427,139.0,4204.31,0.375
71,p,4450,0.26575342465753427,323.0,4204.31,0.375
72,p,4200,0.26575342465753427,213.0,4204.31,0.375
73,p,3850,0.26575342465753427,115.99999999999999,4204.31,0.375
74,p,4250,0.26575342465753427,231.0,4204.31,0.375
75,p,4700,0.26575342465753427,488.99999999999994,4204.31,0.375
76,p,4300,0.26575342465753427,250.99999999999997,4204.31,0.375
77,p,4550,0.26575342465753427,383.0,4204.31,0.375
78,p,4500,0.26575342465753427,352.0,4204.31,0.375
79,p,4000,0.26575342465753427,152.0,4204.31,0.375
80,p,3800,0.26575342465753427,105.0,4204.31,0.375
81,c,4450,0.26575342465753427,89.0,4204.31,0.375
82,c,4800,0.26575342465753427,15.0,4204.31,0.375
83,c,4350,0.26575342465753427,130.0,4204.31,0.375
84,c,4300,0.26575342465753427,154.0,4204.31,0.375
85,c,4650,0.26575342465753427,35.0,4204.31,0.375
86,c,4750,0.26575342465753427,20.0,4204.31,0.375
87,c,4600,0.26575342465753427,45.0,4204.31,0.375
88,c,4200,0.26575342465753427,206.99999999999997,4204.31,0.375
89,c,5000,0.26575342465753427,3.3000000000000003,4204.31,0.375
90,c,4550,0.26575342465753427,56.99999999999999,4204.31,0.375
91,c,4700,0.26575342465753427,26.0,4204.31,0.375
92,c,4400,0.26575342465753427,108.0,4204.31,0.375
93,c,4900,0.26575342465753427,7.6,4204.31,0.375
94,c,4950,0.26575342465753427,5.1,4204.31,0.375
95,c,4250,0.26575342465753427,179.0,4204.31,0.375
96,p,4350,0.26575342465753427,273.0,4204.31,0.375
97,p,4150,0.26575342465753427,196.0,4204.31,0.375
98,p,4100,0.26575342465753427,180.0,4204.31,0.375
99,c,4500,0.26575342465753427,72.0,4204.31,0.375
100,c,4850,0.26575342465753427,11.0,4204.31,0.375
101,c,4100,0.26575342465753427,267.0,4204.31,0.375
102,c,4150,0.26575342465753427,237.0,4204.31,0.375
103,p,4550,0.01643835616438356,315.0,4204.31,0.375
104,p,4650,0.01643835616438356,407.0,4204.31,0.375
105,p,4150,0.01643835616438356,34.0,4204.31,0.375
106,p,4450,0.01643835616438356,225.0,4204.31,0.375
107,p,4300,0.01643835616438356,104.0,4204.31,0.375
108,p,4600,0.01643835616438356,361.0,4204.31,0.375
109,p,4250,0.01643835616438356,74.0,4204.31,0.375
110,p,4500,0.01643835616438356,270.0,4204.31,0.375
111,p,4100,0.01643835616438356,21.0,4204.31,0.375
112,p,4400,0.01643835616438356,181.0,4204.31,0.375
113,c,4600,0.01643835616438356,0.1,4204.31,0.375
114,c,4700,0.01643835616438356,0.1,4204.31,0.375
115,c,4550,0.01643835616438356,0.1,4204.31,0.375
116,c,4650,0.01643835616438356,0.1,4204.31,0.375
117,c,4350,0.01643835616438356,5.7,4204.31,0.375
118,c,4450,0.01643835616438356,0.1,4204.31,0.375
119,c,4750,0.01643835616438356,0.1,4204.31,0.375
120,c,4500,0.01643835616438356,0.1,4204.31,0.375
121,p,4200,0.01643835616438356,51.0,4204.31,0.375
122,p,4350,0.01643835616438356,140.0,4204.31,0.375
123,c,4400,0.01643835616438356,0.1,4204.31,0.375
